NAME	AB	TIPO_FORES	SUP_M2	ALT_DOM	LAYER
NO4M	0	Lenga	201	NaN	parcelas arroyo_norte
NO3B	0	Lenga	201	NaN	parcelas arroyo_norte
NO3A	20	Lenga	452	15	parcelas arroyo_norte
NO2B	36	Lenga	452	17	parcelas arroyo_norte
NO2A	44	Lenga	452	20	parcelas arroyo_norte
NO1B	28	Lenga	452	17	parcelas arroyo_norte
NO1A	48	Lenga	1964	28	parcelas arroyo_norte
BR04B	70	Lenga	452	13	parcelas berta
BR03A	68	Lenga	908	22	parcelas berta
BR03B	58	Lenga	804	22	parcelas berta
BR02A	58	Lenga	1018	25	parcelas berta
BR02B	48	Lenga	452	16	parcelas berta
BR01B	64	Lenga	314	10	parcelas berta
BR01A	86	Lenga	314	13	parcelas berta
BE01	24	Ñire	201	10	parcelas betulas
BE02	30	Ñire	201	8	parcelas betulas
BE03	0	Ñire	201	8	parcelas betulas
BE04	38	Ñire	201	12	parcelas betulas
BE05	0	Ñire	50	4	parcelas betulas
BE06	0	Ñire	50	3.5	parcelas betulas
BE07	46	Ñire	201	16	parcelas betulas
BR01	26	Ñire	201	14	parcelas brand_ruta
BR02	34	Ñire	201	11	parcelas brand_ruta
BR03	14	Ñire	201	8	parcelas brand_ruta
BR04	34	Ñire	201	12	parcelas brand_ruta
BR05	0	Ñire	201	8	parcelas brand_ruta
BR06	8	Ñire	201	8	parcelas brand_ruta
BR07	24	Ñire	201	8	parcelas brand_ruta
BR08	18	Ñire	201	12	parcelas brand_ruta
BR09	42	Ñire	201	8	parcelas brand_ruta
BV01	4	Ñire	201	16	parcelas brand_viejo
BV02	0	Ñire	50	3.5	parcelas brand_viejo
BV03	8	Ñire	201	12	parcelas brand_viejo
BV04	26	Ñire	201	22	parcelas brand_viejo
BV05	0	Ñire	50	3	parcelas brand_viejo
BV06	12	Ñire	201	9	parcelas brand_viejo
BV07	0	Ñire	201	3.5	parcelas brand_viejo
CN01	4	Ñire	201	12	parcelas cantera
CN02	0	Ñire	201	7	parcelas cantera
CN03	4	Ñire	201	12	parcelas cantera
CN04	24	Ñire	201	5	parcelas cantera
CN05	22	Ñire	201	5	parcelas cantera
CN06	26	Ñire	201	6	parcelas cantera
CN07	16	Ñire	201	7	parcelas cantera
NG03M	62	Lenga	707	20	parcelas cañadon_negro
NG02B	58	Lenga	1257	18	parcelas cañadon_negro
NG02M	48	Lenga	707	25	parcelas cañadon_negro
NG02A	50	Lenga	2827	30	parcelas cañadon_negro
NG01A	66	Lenga	1018	25	parcelas cañadon_negro
NG01B	58	Lenga	1964	28	parcelas cañadon_negro
CC2	40	Ñire	314	28	parcelas clausura_cipres
CC1	11	Ñire	314	20	parcelas clausura_cipres
CC3	14	Ñire	314	8	parcelas clausura_cipres
CC4	4	Ñire	314	22	parcelas clausura_cipres
CC5	0	Ñire	314	3	parcelas clausura_cipres
CC6	0	Ñire	314	6	parcelas clausura_cipres
CC7	28	Ñire	314	9	parcelas clausura_cipres
CC8	18	Ñire	314	18	parcelas clausura_cipres
CC9	9	Ñire	314	5	parcelas clausura_cipres
CC10	12	Ñire	314	16	parcelas clausura_cipres
CC11	2	Ñire	314	7	parcelas clausura_cipres
CC12	12	Ñire	314	13	parcelas clausura_cipres
CB09	28	Ñire	201	15	parcelas colombo_abajo
CB08	0	Ñire	201	4	parcelas colombo_abajo
CB07	6	Ñire	201	12	parcelas colombo_abajo
