NAME	FECHA	LAYER	TIPO_FORES	SUP_M2	ALT_DOM	AB	VOL_M3HA
CENTRO13	2018/11/26	parcela 13_14	ÑIRE	200	5.3	8	26
CENTRO14	2018/11/26	parcela 13_14	ÑIRE	200	4.2	11	30
CENTRO16	2018/11/27	parcela 15_16	ÑIRE	200	4	9	22
CENTRO15	2018/11/27	parcela 15_16	ÑIRE	200	4.6	7	21
CENTRO17	2019/01/21	parcela 17_18	ÑIRE	200	4	20	58
CENTRO31	2019/03/20	parcela 31_32	ÑIRE	200	6.3	24	92
CENTRO39	2019/04/08	parcela 39_ 40	ÑIRE	200	2.9	9	20
CENTRO40	2019/04/08	parcela 39_ 40	ÑIRE	200	2.4	4	8
CENTRO12	2018/07/20	parcela 11_12	ÑIRE	200	7.2	20	90
CENTRO11	2018/11/20	parcela 11_12	ÑIRE	200	8.3	19	89
CENTRO19	2018/12/01	parcela 19_20	ÑIRE	200	9	11	60
CENTRO20	2018/12/01	parcela 19_20	ÑIRE	200	10.2	18	121
CENTRO1	2018/10/05	parcela 1_2	ÑIRE	200	8.4	32.4	102.1
CENTRO2	2018/10/05	parcela 1_2	ÑIRE	200	9.2	44	225
CENTRO21	2018/12/11	parcela 21_22	ÑIRE	200	10	16	93
CENTRO22	2018/12/11	parcela 21_22	ÑIRE	200	9.8	26	141
CENTRO24	2019/10/19	parcela 23_24	ÑIRE	200	10.2	31	177.5
CENTRO23	2019/10/19	parcela 23_24	ÑIRE	200	8.2	13	67
CENTRO25	2019/02/13	parcela 25_26	ÑIRE	200	8.7	40	209
CENTRO26	2019/02/13	parcela 25_26	ÑIRE	200	10.7	33	206
CENTRO28	2019/02/22	parcela 27_28	ÑIRE	200	10.2	45	275
CENTRO27	2019/02/22	parcela 27_28	ÑIRE	200	8.5	34	181
CENTRO29	2019/03/21	parcela 29_30	ÑIRE	200	5.6	18	66
CENTRO30	2019/03/21	parcela 29_30	ÑIRE	200	8	27	117
CENTRO33	2019/03/25	parcela 33_34	ÑIRE	200	NaN	NaN	NaN
CENTRO34	2019/03/25	parcela 33_34	ÑIRE	200	9.2	38	199
CENTRO35	2019/03/29	parcela 35_36	ÑIRE	200	6.2	9	33
CENTRO36	2019/03/29	parcela 35_36	ÑIRE	200	8.9	34	168
CENTRO37	2019/04/04	parcela 37_38	ÑIRE	200	3.3	3	9
CENTRO38	2019/04/04	parcela 37_38	ÑIRE	200	4.1	12	33
CENTRO3	2018/10/24	parcela 3_4	ÑIRE	200	9.8	12	330
CENTRO4	2018/10/24	parcela 3_4	ÑIRE	200	12	36	194
CENTRO41	2019/04/11	parcela 41_42	ÑIRE	200	3.2	6	13
CENTRO42	2019/04/11	parcela 41_42	ÑIRE	200	1.5	2	1
CENTRO44	2018/12/05	parcela 43_44	ÑIRE	200	3.6	16	41
CENTRO43	2018/12/05	parcela 43_44	ÑIRE	200	3.8	15	39
CENTRO48	2019/02/18	parcela 47_48	ÑIRE	200	2.9	7	1
CENTRO47	2019/02/18	parcela 47_48	ÑIRE	200	3	3	7
CENTRO45	2019/02/18	parcela 47_48	ÑIRE	200	4.2	17	45
CENTRO46	2019/02/18	parcela 47_48	ÑIRE	200	4.9	39	127
CENTRO50	2019/03/15	parcela 49_50	ÑIRE	200	3.1	4	8
CENTRO49	2019/03/15	parcela 49_50	ÑIRE	200	4.6	2	6
CENTRO51	2019/03/16	parcela 51_52	ÑIRE	200	3.3	3	7
CENTRO53	2019/04/12	parcela 53_54	ÑIRE	200	3.5	4	9
CENTRO54	2019/04/12	parcela 53_54	ÑIRE	200	4.2	6	16
CENTRO52	2019/04/12	parcela 53_54	ÑIRE	200	5.2	10	31
CENTRO5	2018/11/22	parcela 5_6	ÑIRE	200	9.9	16	69
CENTRO6	2018/11/22	parcela 5_6	ÑIRE	200	7	32	142
CENTRO7	2018/11/12	parcela 7_8	ÑIRE	200	7.2	8	41
CENTRO8	2018/11/12	parcela 7_8	ÑIRE	200	7.6	20	99
CENTRO9	2018/11/13	parcela 9_10	ÑIRE	200	9.1	24	111
CENTRO10	2018/11/13	parcela 9_10	ÑIRE	200	8	61	9.3
CENTRO32	2019/03/21	parcela31_32	ÑIRE	200	4.8	14	43
CENTRO18	2019/01/21	parcela 17_18	ÑIRE	200	13	13	38
