NAME,FECHA,LAYER,TIPO_FORES,SUP_m2,Alt Dom,AB,Vol m3/ha ñire,Vol m3/ha total,manejo,C11,C12r,C12i,C13r,C13i,C22,C23r,C23i,C33,ang,C11_std,C12r_std,C12i_std,C13r_std,C13i_std,C22_std,C23r_std,C23i_std,C33_std,ang_std,LIA,PLIA,IAE,Nr Pix,NDVI,VV,VH,ang,VV_std,VH_std,ang_std,VV,VV (gamma0),VV (beta0),VH,VH (gamma0),VH (beta0),VV_std,VH_std,LIA,PLIA,IAE
CENTRO13,2018/11/26,parcela 13_14,ÑIRE,200,5.3,8,26,26,TESTIGO,0.1287,0.0019,0.0014,0.0464,0.0410,0.0548,-0.0031,0.0016,0.0917,18.28,0.0350,0.0147,0.0066,0.0189,0.0119,0.0069,0.0064,0.0050,0.0195,0.5114,18.28,18.20,27.51,3,0.72,0.080,0.023,41.67,0.000,0.001,0.96,0.1561,0.2024,0.2453,0.0278,0.0361,0.0438,0.0055,0.0001,35.19,35.17,39.58
CENTRO14,2018/11/26,parcela 13_14,ÑIRE,200,4.2,11,30,30,RALEO,0.0803,0.0094,0.0062,0.0366,-0.0103,0.0384,0.0024,-0.0076,0.0841,25.43,0.0054,0.0059,0.0029,0.0103,0.0005,0.0138,0.0106,0.0006,0.0047,0.4468,25.43,24.12,27.51,2,0.65,0.089,0.035,38.51,0.008,0.003,1.17,0.1393,0.1806,0.2189,0.0254,0.0330,0.0400,0.0031,0.0002,35.07,34.60,39.58
CENTRO16,2018/11/27,parcela 15_16,ÑIRE,200,4,9,22,22,RALEO,0.0776,0.0083,-0.0071,0.0347,0.0004,0.0695,-0.0168,0.0081,0.0556,26.54,0.0103,0.0059,0.0078,0.0054,0.0038,0.0028,0.0052,0.0020,0.0040,0.1097,26.54,24.31,27.51,3,0.60,0.131,0.036,33.51,0.005,0.005,1.62,0.0967,0.1253,0.1519,0.0224,0.0290,0.0352,0.0030,0.0014,40.77,40.45,39.58
CENTRO15,2018/11/27,parcela 15_16,ÑIRE,200,4.6,7,21,21,TESTIGO,0.0446,0.0035,0.0052,0.0217,-0.0046,0.0394,0.0027,-0.0006,0.0582,22.51,0.0017,0.0048,0.0014,0.0017,0.0000,0.0173,0.0019,0.0051,0.0011,0.4337,22.51,21.18,27.51,2,0.68,0.115,0.024,41.67,0.005,0.002,2.61,0.1052,0.1364,0.1654,0.0228,0.0295,0.0358,0.0046,0.0000,35.28,35.24,39.58
CENTRO17,2019/01/21,parcela 17_18,ÑIRE,200,4,20,58,58,RALEO,0.1356,0.0039,0.0316,0.0790,-0.0325,0.0793,-0.0017,-0.0225,0.1447,28.87,0.0254,0.0094,0.0165,0.0397,0.0158,0.0169,0.0122,0.0191,0.0514,0.0221,28.87,26.85,27.52,3,0.61,0.086,0.029,35.33,0.005,0.004,0.12,0.1098,0.1423,0.1725,0.0273,0.0354,0.0429,0.0053,0.0014,37.12,35.77,39.58
CENTRO31,2019/03/20,parcela 31_32,ÑIRE,200,6.3,24,92,116,,0.0759,-0.0072,0.0050,0.0313,-0.0042,0.0521,-0.0077,-0.0096,0.0636,21.76,0.0209,0.0054,0.0042,0.0139,0.0120,0.0061,0.0027,0.0064,0.0112,0.8289,21.76,21.74,27.57,3,0.68,0.132,0.035,33.87,0.005,0.002,0.80,0.1023,0.1327,0.1606,0.0197,0.0255,0.0309,0.0086,0.0004,41.41,41.26,39.62
CENTRO39,2019/04/08,Parcela 39_40,ÑIRE,200,2.9,9,20,20,,0.0715,-0.0170,-0.0085,0.0175,-0.0006,0.0352,0.0024,-0.0012,0.0618,38.38,0.0093,0.0032,0.0047,0.0055,0.0028,0.0067,0.0050,0.0022,0.0030,0.3136,38.38,38.15,27.54,3,0.67,0.153,0.030,26.26,0.008,0.001,1.64,0.0782,0.1014,0.1229,0.0196,0.0254,0.0308,0.0041,0.0013,48.89,48.67,39.59
CENTRO40,2019/04/08,Parcela 39_40,ÑIRE,200,2.4,4,8,8,,0.0823,-0.0134,-0.0064,0.0265,-0.0021,0.0681,0.0120,-0.0063,0.0837,39.84,0.0083,0.0027,0.0036,0.0087,0.0096,0.0258,0.0041,0.0042,0.0091,0.2437,39.84,39.54,27.54,4,0.69,0.133,0.032,24.52,0.007,0.003,0.62,0.0834,0.1082,0.1311,0.0264,0.0343,0.0415,0.0000,0.0000,50.70,50.37,39.59
CENTRO12,2018/07/20,parcela 11_12,ÑIRE,200,7.2,20,86,90,TESTIGO,0.1369,0.0084,0.0156,0.0550,-0.0011,0.0703,0.0094,-0.0084,0.0969,25.08,0.0318,0.0046,0.0154,0.0178,0.0104,0.0245,0.0109,0.0107,0.0228,0.6132,25.08,24.23,27.43,4,0.66,0.075,0.026,46.11,0.007,0.000,0.55,0.1137,0.1473,0.1790,0.0307,0.0397,0.0483,0.0014,0.0007,28.61,28.58,39.51
CENTRO11,2018/11/20,parcela 11_12,ÑIRE,200,8.3,19,86,89,RALEO,0.1218,-0.0209,-0.0103,0.0007,-0.0042,0.0911,0.0203,-0.0100,0.0692,19.14,0.0125,0.0060,0.0131,0.0086,0.0022,0.0056,0.0032,0.0062,0.0095,0.3882,19.14,19.11,27.43,3,0.72,0.083,0.028,43.04,0.001,0.000,0.62,0.1159,0.1501,0.1824,0.0297,0.0384,0.0467,0.0050,0.0007,31.59,31.55,39.51
CENTRO19,2018/12/01,parcela 19_20,ÑIRE,200,9,11,60,60,TESTIGO,0.2592,-0.0074,-0.0360,0.0512,0.0111,0.1038,-0.0349,0.0040,0.2567,8.37,0.0216,0.0175,0.0114,0.0088,0.0084,0.0162,0.0060,0.0114,0.0264,1.9847,8.37,6.18,27.41,4,0.75,0.105,0.030,44.80,0.002,0.000,0.02,0.1291,0.1672,0.2033,0.0242,0.0313,0.0380,0.0000,0.0000,28.67,28.36,39.49
CENTRO20,2018/12/01,parcela 19_20,ÑIRE,200,10.2,18,121,121,RALEO,0.0701,-0.0092,0.0066,0.0260,0.0091,0.0571,-0.0181,-0.0105,0.0807,19.43,0.0181,0.0035,0.0071,0.0111,0.0006,0.0271,0.0021,0.0055,0.0113,1.5568,19.43,15.03,27.41,3,0.72,0.124,0.025,35.82,0.000,0.001,0.39,0.1166,0.1509,0.1835,0.0253,0.0327,0.0398,0.0004,0.0010,36.37,34.94,39.49
