,NAME,FECHA,LAYER,TIPO_FORES,SUP_m2,Alt Dom,AB,Vol m3/ha Ã±ire,Vol m3/ha total,AGB,manejo,C11,C12r,C12i,C13r,C13i,C22,C23r,C23i,C33,ang,C11_std,C12r_std,C12i_std,C13r_std,C13i_std,C22_std,C23r_std,C23i_std,C33_std,ang_std,LIA,PLIA,IAE,Nr Pix,C11_corr,C12r_corr,C12i_corr,C13r_corr,C13i_corr,C22_corr,C23r_corr,C23i_corr,C33_corr,C11_corr_dB,C22_corr_dB,C33_corr_dB,C,T
0,CENTRO13,2018/11/26,parcela 13_14,ÃIRE,200,5.3,8.0,26.0,26.0,26.91,TESTIGO,0.1287,0.0019,0.0014,0.0464,0.041,0.0548,-0.0031,0.0016,0.0917,18.28,0.035,0.0147,0.0066,0.0189,0.0119,0.0069,0.0064,0.005,0.0195,0.5114,18.28,18.2,27.51,3,0.10382968226974858,0.0015328391321874303,0.001129460413190738,0.03743354512289303,0.033077054957728766,0.04421030760203747,-0.0025009480577794915,0.001290811900789415,0.07397965706399334,-9.836784749730736,-13.54476463393091,-11.308876862074392,"[[0.10382968+0.j 0.06811278+0.j 0.06644707+0.j]
 [0.03698323+0.j 0.11861774+0.j 0.0626036 +0.j]
 [0.06987047+0.j 0.08210792+0.j 0.11578838+0.j]]","[[ 0.35251219+0.j -0.0119587 +0.j  0.21244415+0.j]
 [-0.0119587 -0.j  0.08672393+0.j -0.01979213+0.j]
 [ 0.21244415-0.j -0.01979213-0.j  0.23723548+0.j]]"
1,CENTRO14,2018/11/26,parcela 13_14,ÃIRE,200,4.2,11.0,30.0,30.0,31.05,RALEO,0.0803,0.0094,0.0062,0.0366,-0.0103,0.0384,0.0024,-0.0076,0.0841,25.43,0.0054,0.0059,0.0029,0.0103,0.0005,0.0138,0.0106,0.0006,0.0047,0.4468,25.43,24.12,27.51,2,0.06811277622428791,0.007973351139580405,0.005259018836744521,0.0310451757136854,-0.008736757099752995,0.03257198763403058,0.0020357492271269114,-0.00644653921923522,0.07133604583390553,-11.667714178481098,-14.871557387592599,-11.466909673288788,"[[0.09876386+0.j 0.2006964 +0.j 0.05694268+0.j]
 [0.17091481+0.j 0.14210739+0.j 0.09916076+0.j]
 [0.10042416+0.j 0.06523752+0.j 0.11179997+0.j]]","[[ 0.32444918+0.j -0.01303611+0.j  0.37608735+0.j]
 [-0.01303611-0.j  0.09667846+0.j  0.19156779+0.j]
 [ 0.37608735-0.j  0.19156779-0.j  0.28421477+0.j]]"
2,CENTRO16,2018/11/27,parcela 15_16,ÃIRE,200,4.0,9.0,22.0,22.0,22.77,RALEO,0.0776,0.0083,-0.0071,0.0347,0.0004,0.0695,-0.0168,0.0081,0.0556,26.54,0.0103,0.0059,0.0078,0.0054,0.0038,0.0028,0.0052,0.002,0.004,0.1097,26.54,24.31,27.51,3,0.06644706518099466,0.007107095889204326,-0.006079563953415749,0.029712798476553025,0.0003425106452628591,0.059511224614421765,-0.01438544710104008,0.006935840566572896,0.04760897969153741,-11.775241961184888,-12.254011127865635,-13.223111257946199,"[[0.08062331+0.j 0.13687149+0.j 0.10920655+0.j]
 [0.11665971+0.j 0.09949109+0.j 0.12489605+0.j]
 [0.08908288+0.j 0.13212687+0.j 0.08747304+0.j]]","[[ 0.38650945+0.j -0.00684973+0.j  0.38042113+0.j]
 [-0.00684973-0.j -0.05031675+0.j  0.0067099 +0.j]
 [ 0.38042113-0.j  0.0067099 -0.j  0.19898217+0.j]]"
3,CENTRO15,2018/11/27,parcela 15_16,ÃIRE,200,4.6,7.0,21.0,21.0,21.735,TESTIGO,0.0446,0.0035,0.0052,0.0217,-0.0046,0.0394,0.0027,-0.0006,0.0582,22.51,0.0017,0.0048,0.0014,0.0017,0.0,0.0173,0.0019,0.0051,0.0011,0.4337,22.51,21.18,27.51,2,0.03698323387745398,0.0029022717168405592,0.004311946550734545,0.017994084644411466,-0.003814414256419021,0.032671287326719436,0.0022388953244198598,-0.0004975322943155244,0.048260632548605874,-14.319951160614417,-14.858337529480094,-13.16406990123695,"[[0.09107459+0.j 0.11392031+0.j 0.08667258+0.j]
 [0.07994822+0.j 0.1110315 +0.j 0.0424117 +0.j]
 [0.06351692+0.j 0.06676373+0.j 0.14902827+0.j]]","[[ 0.41344801+0.j -0.05795367+0.j  0.25552583+0.j]
 [-0.05795367-0.j  0.0667577 +0.j  0.06668948+0.j]
 [ 0.25552583-0.j  0.06668948-0.j  0.222063  +0.j]]"
4,CENTRO17,2019/01/21,parcela 17_18,ÃIRE,200,4.0,20.0,58.0,58.0,60.03,RALEO,0.1356,0.0039,0.0316,0.079,-0.0325,0.0793,-0.0017,-0.0225,0.1447,28.87,0.0254,0.0094,0.0165,0.0397,0.0158,0.0169,0.0122,0.0191,0.0514,0.0221,28.87,26.85,27.52,3,0.11861774151656555,0.0034115722117596284,0.02764248253630879,0.06910620634077197,-0.02842976843133024,0.06936863497244578,-0.0014870955794849662,-0.019682147375536314,0.126578076677338,-9.258503491968895,-11.588368514103305,-8.976415076088967,"[[0.11882953+0.j 0.10064832+0.j 0.09069558+0.j]
 [0.08433718+0.j 0.11589273+0.j 0.09474635+0.j]
 [0.07815026+0.j 0.118408  +0.j 0.09122686+0.j]]","[[ 0.39144755+0.j  0.02760266+0.j  0.30979242+0.j]
 [ 0.02760266-0.j  0.02866523+0.j -0.02511599+0.j]
 [ 0.30979242-0.j -0.02511599-0.j  0.23178545+0.j]]"
5,CENTRO31,2019/03/20,parcela 31_32,ÃIRE,200,6.3,24.0,92.0,116.0,120.06,,0.0759,-0.0072,0.005,0.0313,-0.0042,0.0521,-0.0077,-0.0096,0.0636,21.76,0.0209,0.0054,0.0042,0.0139,0.012,0.0061,0.0027,0.0064,0.0112,0.8289,21.76,21.74,27.57,3,0.06260360134486284,-0.005938681550500823,0.004124084410070017,0.025816768407038306,-0.003464230904458814,0.042972959552929575,-0.006351089991507825,-0.00791824206733443,0.052458353696090615,-12.034006827765708,-13.668047353725266,-12.801853430236372,"[[0.18384589+0.j 0.10085589+0.j 0.12028092+0.j]
 [0.05701039+0.j 0.06861895+0.j 0.0690037 +0.j]
 [0.07728306+0.j 0.121703  +0.j 0.05754373+0.j]]","[[ 0.48195146+0.j  0.12630216+0.j  0.3147458 +0.j]
 [ 0.12630216-0.j  0.00082778+0.j -0.02948227+0.j]
 [ 0.3147458 -0.j -0.02948227-0.j  0.13723791+0.j]]"
6,CENTRO39,2019/04/08,Parcela 39_40,ÃIRE,200,2.9,9.0,20.0,20.0,20.7,,0.0715,-0.017,-0.0085,0.0175,-0.0006,0.0352,0.0024,-0.0012,0.0618,38.38,0.0093,0.0032,0.0047,0.0055,0.0028,0.0067,0.005,0.0022,0.003,0.3136,38.38,38.15,27.54,3,0.06987047178775324,-0.016612559725759514,-0.008306279862879757,0.01710116442357597,-0.0005863256373797475,0.034397770726278525,0.00234530254951899,-0.001172651274759495,0.06039154065011399,-11.557063242406318,-14.634697025635814,-12.190238909528965,"[[ 0.00153284+0.00112946j  0.00797335+0.00525902j  0.0071071 -0.00607956j]
 [ 0.00290227+0.00431195j  0.00341157+0.02764248j -0.00593868+0.00412408j]
 [-0.01661256-0.00830628j -0.01336873-0.00638506j  0.00710462+0.01319429j]]","[[ 0.02285165+1.43237537e-02j -0.00557178+9.42950448e-05j
  -0.00763021-1.59246747e-03j]
 [-0.00557178-9.42950448e-05j -0.00557673+1.43237537e-02j
   0.03018226+1.64672190e-02j]
 [-0.00763021+1.59246747e-03j  0.03018226-1.64672190e-02j
   0.00682314+5.52849651e-02j]]"
7,CENTRO40,2019/04/08,Parcela 39_40,ÃIRE,200,2.4,4.0,8.0,8.0,8.28,,0.0823,-0.0134,-0.0064,0.0265,-0.0021,0.0681,0.012,-0.0063,0.0837,39.84,0.0083,0.0027,0.0036,0.0087,0.0096,0.0258,0.0041,0.0042,0.0091,0.2437,39.84,39.54,27.54,4,0.0821079244344105,-0.013368726457121517,-0.006385063382505799,0.026438153068188072,-0.002095098922384715,0.06794106505447575,0.011971993842198372,-0.006285296767154145,0.08350465704933364,-10.856149260467499,-11.678676493462346,-10.782893032657597,"[[-0.01694716-0.00835195j -0.00572976-0.0278745j  -0.00747322+0.00536122j]
 [-0.02609872-0.01957404j -0.02599114-0.01493647j -0.0162901 +0.00910575j]
 [ 0.01775592+0.00974511j -0.00230854-0.00726761j  0.02599806+0.01038261j]]","[[-0.00589554+0.00203066j -0.04294522-0.02945701j -0.01136786-0.04969845j]
 [-0.04294522+0.02945701j  0.02399733+0.00203066j -0.00483834-0.02914254j]
 [-0.01136786+0.04969845j -0.00483834+0.02914254j -0.05198227-0.02987293j]]"
8,CENTRO12,2018/07/20,parcela 11_12,ÃIRE,200,7.2,20.0,86.0,90.0,93.15,TESTIGO,0.1369,0.0084,0.0156,0.055,-0.0011,0.0703,0.0094,-0.0084,0.0969,25.08,0.0318,0.0046,0.0154,0.0178,0.0104,0.0245,0.0109,0.0107,0.0228,0.6132,25.08,24.23,27.43,4,0.11578838137014552,0.007104619455874524,0.013194293275195544,0.04651834167536891,-0.0009303668335073782,0.059458898541426074,0.007950407486335777,-0.007104619455874524,0.0819568601516954,-9.363350171196965,-12.257831402338626,-10.864146882029214,"[[ 0.01861889-8.78249567e-05j -0.01045424-1.05420913e-02j
  -0.00859218+2.57765266e-04j]
 [-0.00709812-1.36951982e-02j -0.03439943+3.84514946e-02j
  -0.02541138+2.41148770e-02j]
 [ 0.00080984+2.95593195e-02j  0.03668347+4.74727203e-02j
   0.00901874+1.61987113e-02j]]","[[ 0.01045328+0.01611089j  0.00960015-0.01680207j  0.03709373+0.0522278j ]
 [ 0.00960015+0.01680207j  0.04482198+0.01611089j -0.06666278-0.08204533j]
 [ 0.03709373-0.0522278j  -0.06666278+0.08204533j -0.06879886+0.07690299j]]"
9,CENTRO11,2018/11/20,parcela 11_12,ÃIRE,200,8.3,19.0,86.0,89.0,92.115,RALEO,0.1218,-0.0209,-0.0103,0.0007,-0.0042,0.0911,0.0203,-0.01,0.0692,19.14,0.0125,0.006,0.0131,0.0086,0.0022,0.0056,0.0032,0.0062,0.0095,0.3882,19.14,19.11,27.43,3,0.09876385532062416,-0.01694716400821876,-0.00835195164041403,0.0005676083639116331,-0.0034056501834697985,0.07387017421764253,0.01646064255343736,-0.00810869091302333,0.05611214111812145,-10.054019654007678,-11.315308767246261,-12.509431592408667,"[[ 8.29572665e-03-0.00338965j -5.82314058e-03+0.00582314j
  -7.56534823e-03-0.00592071j]
 [ 7.79982597e-03-0.01390404j  2.48791244e-02+0.01773478j
   9.63902208e-05-0.01156683j]
 [-1.73878845e-03+0.00368214j  1.04877890e-02-0.0023022j
  -1.22759458e-02-0.01665408j]]","[[-0.01911092-0.02004373j  0.02057167+0.02510584j  0.00659681+0.00497937j]
 [ 0.02057167-0.02510584j  0.01115048-0.02004373j -0.02306714+0.01149096j]
 [ 0.00659681-0.00497937j -0.02306714-0.01149096j  0.04975825+0.03546956j]]"
