,NAME,AGB,Bio_total_std,C22_corr_dB,C22_sigma_dB,H,H_std
0,nirantal alto-00,221.0,0.0,-12.047001708138808,1.4430186321182568,0.586838931841456,0.06238940993151319
1,nirantal interm-1,103.75,30.7612,-12.559325530958887,1.2681201217709415,0.5401176315651918,0.048205162874617735
2,nirantal interme-2,89.5,0.7071,-11.744275084730882,1.6146659209859315,0.5510490946260707,0.07894008576681287
3,nirantal bajo-3,27.0,9.5394,-12.425993222581347,1.2351552648463713,0.5714785618005436,0.0884153694435658
4,nirantal bajo-4,27.0,9.5394,-12.828176351422599,1.1448238949794778,0.5634908665201643,0.060091211791669236
5,nirantal bajo-5,38.0,17.4356,-13.160356135626232,1.5515131878861865,0.5476424944061855,0.07567278795988347
6,nirantal alto-6,90.5,43.1335,-12.563441673010828,1.705334592574502,0.586322980941512,0.07593601152036797
7,nirantal alto-9,212.0,18.3848,-11.532144269563474,2.0190196675543586,0.5689798113481518,0.09438989344949385
8,nirantal alto-10,117.0,33.9411,-12.481642445326276,0.9462027467582939,0.561034555032293,0.04774388927726365
9,bajo-12,10.5,8.0208,-13.593216239255224,1.0478746807348838,0.5469482440748645,0.06102979817898266
10,suelo_desnudo_ref-13,0.0,,-17.310868047399254,1.2299668477008296,0.5096165041870937,0.06075038218584416
11,suelo_desnudo_ref-14,0.0,,-15.851418533132943,1.899931315029006,0.5214998997435474,0.09192047447939004
